Name,Category,Density,ElasticModulus,DampingRatio,Thickness,PoissonRatio
Gypsum 835kg/m3 20mm,Gypsum,835,3.12E+09,0.008,0.02,0.3
Gypsum 808kg/m3 25mm,Gypsum,808,2.83E+09,0.008,0.025,0.3
Gypsum 720kg/m3 12.5mm,Gypsum,720,2.21E+09,0.008,0.0125,0.3
Gypsum 680kg/m3 12.5mm,Gypsum,680,1.98E+09,0.008,0.0125,0.3
Gypsum 680kg/m3 9.5mm,Gypsum,680,1.98E+09,0.008,0.0095,0.3
Gypsum 800kg/m3 12.5mm,Gypsum,800,2.59E+09,0.008,0.0125,0.3
Gypsum 800kg/m3 15mm,Gypsum,800,2.59E+09,0.008,0.015,0.3
Gypsum 800kg/m3 18mm,Gypsum,800,2.59E+09,0.008,0.018,0.3
Gypsum 800kg/m3 20mm,Gypsum,800,2.59E+09,0.008,0.02,0.3
Gypsum 800kg/m3 25mm,Gypsum,800,2.59E+09,0.008,0.025,0.3
Gypsum 680kg/m3 10mm,Gypsum,680,1.98E+09,0.008,0.01,0.3
Gypsum 1050kg/m3 10mm,Gypsum,1050,3.87E+09,0.008,0.01,0.3
Gypsum 1050kg/m3 12.5mm,Gypsum,1050,3.87E+09,0.008,0.0125,0.3
Gypsum 1000kg/m3 12.5mm,Gypsum,1000,3.61E+09,0.008,0.0125,0.3
Gypsum 1000kg/m3 15mm,Gypsum,1000,3.61E+09,0.008,0.015,0.3
Gypsum 1000kg/m3 18mm,Gypsum,1000,3.61E+09,0.008,0.018,0.3
Gypsum 850kg/m3 12.5mm,Gypsum,850,2.85E+09,0.008,0.0125,0.3
Gypsum 780kg/m3 12.5mm,Gypsum,780,2.49E+09,0.008,0.0125,0.3
Gypsum 780kg/m3 15mm,Gypsum,780,2.49E+09,0.008,0.015,0.3
Gypsum 780kg/m3 20mm,Gypsum,780,2.49E+09,0.008,0.02,0.3
Gypsum 780kg/m3 25mm,Gypsum,780,2.49E+09,0.008,0.025,0.3
Gypsum 780kg/m3 30mm,Gypsum,780,2.49E+09,0.008,0.03,0.3
Gypsum 800kg/m3 6.5mm,Gypsum,800,2.59E+09,0.008,0.0065,0.3
Gypsum 1400kg/m3 12.5mm,Gypsum,1400,5.65E+09,0.008,0.0125,0.3
Gypsum 840kg/m3 12.5mm,Gypsum,840,2.68E+09,0.008,0.0125,0.3
Gypsum 866kg/m3 15mm,Gypsum,866,3.50E+09,0.008,0.015,0.3
Gypsum 835kg/m3 20mm,Gypsum,835,3.10E+09,0.008,0.02,0.3
Gypsum 824kg/m3 12.5mm,Gypsum,824,3.00E+09,0.008,0.0125,0.3
Gypsum 887kg/m3 15mm,Gypsum,887,3.70E+09,0.008,0.015,0.3
Gypsum 847kg/m3 25mm,Gypsum,847,3.25E+09,0.008,0.025,0.3
Gypsum 653kg/m3 9.5mm,Gypsum,653,2.17E+09,0.008,0.0095,0.3
Gypsum 1150kg/m3 18mm,Gypsum,1150,3.80E+09,0.007,0.018,0.3
Gypsum 664kg/m3 12.5mm,Gypsum,664,2.21E+09,0.008,0.0125,0.3
Gypsum 1024kg/m3 12.5mm,Gypsum,1024,5.70E+09,0.008,0.0125,0.3
Gypsum 680kg/m3 15mm,Gypsum,680,2.28E+09,0.008,0.015,0.3
Gypsum 750kg/m3 12.7mm,Gypsum,750,2.26E+09,0.01,0.0127,0.3
Gypsum 660kg/m3 13mm,Gypsum,660,1.76E+09,0.01,0.013,0.3
Gypsum 760kg/m3 13mm,Gypsum,760,2.69E+09,0.01,0.013,0.3
Gypsum 850kg/m3 13mm,Gypsum,850,3.76E+09,0.01,0.013,0.3
Gypsum 960kg/m3 12.5mm,Gypsum,960,3.02E+09,0.008,0.0125,0.3
Gypsum 714kg/m3 7mm,Gypsum,714,2.40E+09,0.008,0.007,0.3
Gypsum 725kg/m3 8mm,Gypsum,725,2.44E+09,0.008,0.008,0.3
Gypsum 716kg/m3 9mm,Gypsum,716,2.41E+09,0.008,0.009,0.3
Gypsum 716kg/m3 9.5mm,Gypsum,716,2.41E+09,0.008,0.0095,0.3
Gypsum 704kg/m3 12.5mm,Gypsum,704,2.39E+09,0.008,0.0125,0.3
Gypsum 700kg/m3 15mm,Gypsum,700,2.39E+09,0.008,0.015,0.3
Gypsum 694kg/m3 18mm,Gypsum,694,2.33E+09,0.008,0.018,0.3
Gypsum 920kg/m3 15mm,Gypsum,920,2.95E+09,0.008,0.015,0.3
